t|Main,Q_BESS1|BESS_1,V_BESS1|BESS_1,freq_BESS_1|BESS_1,Vrms_BESS_1|BESS_1,P_BESS1|BESS_1
0,1.17E-54,1.90E-29,0,0,8.14E-39
0.001,-9.11E-07,0.001344137,60,0.000162654,-2.50E-05
0.002,7.26E-05,0.003767462,60,0.000870749,-0.000119253
0.003,0.000170473,0.007093856,60,0.001986856,-0.000317505
0.004,0.000453705,0.010807177,60,0.003512706,-0.000472069
0.005,0.000873984,0.015026333,60,0.005369884,-0.000790874
0.006,0.001446489,0.020014021,60,0.007773967,-0.001145619
0.007,0.00236202,0.025114899,60,0.010382321,-0.001575117
0.008,0.003586837,0.030602659,60,0.013343821,-0.001987993
0.009,0.004954282,0.036842228,60,0.016858406,-0.002483007
0.01,0.006830039,0.043045513,60,0.020356265,-0.00313255
0.011,0.008879247,0.049570653,60,0.02435703,-0.003741095
0.012,0.011644564,0.056868019,60,0.028813747,-0.004377224
0.013,0.014626133,0.064025691,60,0.033063486,-0.005051927
0.014,0.018280262,0.071978769,60,0.038038253,-0.005859537
0.015,0.022311962,0.079723542,60,0.043239666,-0.006581349
0.016,0.026818236,0.087757173,60,0.048214709,-0.007484352
0.017,0.031807801,0.096613583,60,0.054056334,-0.008150094
0.018,0.037571355,0.105173606,60,0.05984785,-0.008952434
0.019,0.043842804,0.113938132,60,0.065535134,-0.010246068
0.02,0.050763791,0.123451859,60,0.072137184,-0.011023336
0.021,0.058229819,0.132519215,60,0.078273353,-0.011896455
0.022,0.066380722,0.141701411,60,0.084789045,-0.012871085
0.023,0.075246367,0.151583474,60,0.091973329,-0.013928134
0.024,0.084853674,0.160949977,60,0.098398226,-0.015219879
0.025,0.095261563,0.171012659,60,0.105710619,-0.016279358
0.026,0.106509236,0.180499141,60,0.113305159,-0.017430318
0.027,0.118360483,0.190064019,60,0.120073202,-0.019086844
0.028,0.130423335,0.200299725,60,0.128074528,-0.020282488
0.029,0.144389003,0.209937897,60,0.135881071,-0.021821847
0.03,0.158741061,0.219631489,60,0.14309799,-0.022928166
0.031,0.173830711,0.229970967,60,0.151633524,-0.023957118
0.032,0.189834826,0.239703156,60,0.159427445,-0.025594151
0.033,0.206316868,0.249460834,60,0.167277277,-0.026960025
0.034,0.224484053,0.259846954,60,0.176177434,-0.028745878
0.035,0.242319798,0.269621426,60,0.183828844,-0.030257526
0.036,0.26127831,0.279392257,60,0.192417849,-0.031626136
0.037,0.281995918,0.289790285,60,0.201498326,-0.033837335
0.038,0.302741819,0.299575581,60,0.209164791,-0.035561946
0.039,0.324235124,0.309981606,60,0.218335911,-0.036859609
0.04,0.346941198,0.319736269,60,0.227417408,-0.03889504
0.041,0.370677933,0.329517827,60,0.235306336,-0.040947203
0.042,0.395480438,0.339905004,60,0.244913555,-0.042494136
0.043,0.42022724,0.34966351,60,0.253757078,-0.044296296
0.044,0.446384192,0.359434403,60,0.262131972,-0.04654469
0.045,0.474615838,0.369809191,60,0.272047492,-0.04878718
0.046,0.501702202,0.379571525,60,0.280448249,-0.051320157
0.047,0.52989031,0.389323778,60,0.289532218,-0.05253639
