t|Main,V_BESS2|BESS_2,freq_BESS_2|BESS_2,Vrms_BESS_2|BESS_2,Q_BESS2|BESS_2,P_BESS2|BESS_2
0,1.90E-29,0,0,1.26E-55,5.61E-39
0.001,0.001344137,0.000162654,60,-9.11E-07,-2.50E-05
0.002,0.003767462,0.000870749,60,7.26E-05,-0.000119253
0.003,0.007093856,0.001986856,60,0.000170473,-0.000317505
0.004,0.010807177,0.003512706,60,0.000453705,-0.000472069
0.005,0.015026333,0.005369884,60,0.000873984,-0.000790874
0.006,0.020014021,0.007773967,60,0.001446489,-0.001145619
0.007,0.025114899,0.010382321,60,0.00236202,-0.001575117
0.008,0.030602659,0.013343821,60,0.003586837,-0.001987993
0.009,0.036842228,0.016858406,60,0.004954282,-0.002483007
0.01,0.043045513,0.020356265,60,0.006830039,-0.00313255
0.011,0.049570653,0.02435703,60,0.008879247,-0.003741095
0.012,0.056868019,0.028813747,60,0.011644564,-0.004377224
0.013,0.064025691,0.033063486,60,0.014626133,-0.005051927
0.014,0.071978769,0.038038253,60,0.018280262,-0.005859537
0.015,0.079723542,0.043239666,60,0.022311962,-0.006581349
0.016,0.087757173,0.048214709,60,0.026818236,-0.007484352
0.017,0.096613583,0.054056334,60,0.031807801,-0.008150094
0.018,0.105173606,0.05984785,60,0.037571355,-0.008952434
0.019,0.113938132,0.065535134,60,0.043842804,-0.010246068
0.02,0.123451859,0.072137184,60,0.050763791,-0.011023336
0.021,0.132519215,0.078273353,60,0.058229819,-0.011896455
0.022,0.141701411,0.084789045,60,0.066380722,-0.012871085
0.023,0.151583474,0.091973329,60,0.075246367,-0.013928134
0.024,0.160949977,0.098398226,60,0.084853674,-0.015219879
0.025,0.171012659,0.105710619,60,0.095261563,-0.016279358
0.026,0.180499141,0.113305159,60,0.106509236,-0.017430318
0.027,0.190064019,0.120073202,60,0.118360483,-0.019086844
0.028,0.200299725,0.128074528,60,0.130423335,-0.020282488
0.029,0.209937897,0.135881071,60,0.144389003,-0.021821847
0.03,0.219631489,0.14309799,60,0.158741061,-0.022928166
0.031,0.229970967,0.151633524,60,0.173830711,-0.023957118
0.032,0.239703156,0.159427445,60,0.189834826,-0.025594151
