t|Main,Vload_2|Load_2,Qload_2|Load_2,Pload_2|Load_2
0,1.90E-29,-9.34E-53,1.05E-39
0.001,0.001344137,1.07E-05,0.00011196
0.002,0.003767462,0.000323355,0.001676221
0.003,0.007093856,0.002227043,0.007759468
0.004,0.010807177,0.00847493,0.022222727
0.005,0.015026333,0.023555926,0.048323497
0.006,0.020014021,0.051895259,0.087993424
0.007,0.025114899,0.097927586,0.141860203
0.008,0.030602659,0.1670048,0.208149016
0.009,0.036842228,0.258915313,0.284724051
0.01,0.043045513,0.374617225,0.369322245
0.011,0.049570653,0.511738002,0.459879815
0.012,0.056868019,0.662315457,0.556786105
0.013,0.064025691,0.825053377,0.661209517
0.014,0.071978769,0.993774835,0.774792546
0.015,0.079723542,1.160077728,0.902176377
0.016,0.087757173,1.328612273,1.044687078
0.017,0.096613583,1.492308622,1.202733739
0.018,0.105173606,1.64874691,1.379011085
0.019,0.113938132,1.804522262,1.568451129
0.02,0.123451859,1.945612197,1.769586697
0.021,0.132519215,2.079521293,1.982702228
0.022,0.141701411,2.206217102,2.198221012
0.023,0.151583474,2.307314158,2.418824492
0.024,0.160949977,2.403649267,2.642558586
0.025,0.171012659,2.483346392,2.858676804
0.026,0.180499141,2.536468679,3.077306949
0.027,0.190064019,2.590017926,3.289341913
0.028,0.200299725,2.614749436,3.488036116
0.029,0.209937897,2.627171652,3.689140808
0.03,0.219631489,2.640131439,3.872696887
0.031,0.229970967,2.614530526,4.043761202
0.032,0.239703156,2.594997175,4.216132533
0.033,0.249460834,2.568912621,4.361186321
0.034,0.259846954,2.503909087,4.502067249
0.035,0.269621426,2.461020951,4.638921152
0.036,0.279392257,2.395017404,4.744134554
0.037,0.289790285,2.308070415,4.857883815
0.038,0.299575581,2.249295192,4.956792551
0.039,0.309981606,2.14805637,5.028655819
0.04,0.319736269,2.054642279,5.118951366
0.041,0.329517827,1.983798067,5.180597409
0.042,0.339905004,1.857296602,5.229083484
0.043,0.34966351,1.767709145,5.297620101
0.044,0.359434403,1.682211798,5.324981133
0.045,0.369809191,1.544228674,5.360614136
0.046,0.379571525,1.463898362,5.407016146
0.047,0.389323778,1.355888845,5.407080056
0.048,0.399695665,1.224050558,5.439031096
0.049,0.409458167,1.153435039,5.462543892
0.05,0.419190721,1.021461981,5.448043758
0.051,0.429565752,0.907063589,5.481850883
0.052,0.439326436,0.842040327,5.484163034
0.053,0.449691095,0.69188445,5.470690805
0.054,0.459424559,0.602296208,5.509264378
0.055,0.469177977,0.533983702,5.49545866
0.056,0.479533569,0.381374748,5.498731493
0.057,0.48927549,0.321069706,5.541175564
0.058,0.499017484,0.235537499,5.518929996
0.059,0.509371481,0.102296254,5.549883117
0.06,0.519120711,0.069738955,5.591001334
0.061,0.528849163,-0.039766873,5.57261011
0.062,0.539210488,-0.13957527,5.633807441
0.063,0.548962618,-0.151990356,5.667751822
0.064,0.559328187,-0.281024868,5.667107944
0.065,0.569051457,-0.340267511,5.75395572
0.066,0.578804556,-0.348551308,5.777430573
0.067,0.589162418,-0.487563696,5.808086923
0.068,0.598896422,-0.506170628,5.913310882
0.069,0.608645723,-0.53268612,5.92887719
0.07,0.618999934,-0.657400288,6.002520134
0.071,0.628745713,-0.638476755,6.115308465
0.072,0.63848375,-0.701614881,6.13345658
0.073,0.648845668,-0.787366463,6.254450246
0.074,0.658598644,-0.739387371,6.362930249
0.075,0.668325961,-0.836950216,6.40060444
0.076,0.67869634,-0.873197954,6.562870878
0.077,0.688454629,-0.812295818,6.657862493
0.078,0.698819872,-0.931763483,6.730877998
0.079,0.708554003,-0.914229128,6.921452461
0.08,0.718311312,-0.867878408,6.998923148
0.081,0.728672688,-0.987377362,7.120539589
0.082,0.738418849,-0.92026019,7.322581049
0.083,0.748168643,-0.921160885,7.388129092
0.084,0.758531454,-1.003883223,7.566006677
0.085,0.768288216,-0.898608681,7.760787192
0.086,0.77802621,-0.956279223,7.834043327
0.087,0.788398731,-0.986123627,8.06517042
0.088,0.79815981,-0.860194453,8.238933138
0.089,0.808536365,-0.961408933,8.34357835
0.09,0.81827014,-0.927730776,8.614738982
0.091,0.82803189,-0.809728151,8.75968326
0.092,0.838404126,-0.932106782,8.915824721
0.093,0.848147345,-0.834541989,9.207486012
0.094,0.857908145,-0.764565906,9.32482305
0.095,0.868276636,-0.861093952,9.545994182
0.096,0.878030325,-0.708423517,9.832470161
0.097,0.887779542,-0.713965297,9.938426504
0.098,0.898152419,-0.753113737,10.22502613
0.099,0.907915112,-0.56635786,10.4826256
0.1,0.918300515,-0.641102662,10.60652766
0.101,0.927713386,-0.609766648,10.93282702
0.102,0.936555544,-0.435364954,11.09896438
0.103,0.945292489,-0.556356828,11.16926017
0.104,0.952891293,-0.484853323,11.3735917
0.105,0.959926756,-0.419699755,11.35260918
0.106,0.966751899,-0.535321443,11.38540493
0.107,0.972586369,-0.42272626,11.52264062
0.108,0.977858292,-0.431074756,11.44553395
0.109,0.982842168,-0.495532388,11.53819637
0.11,0.986957222,-0.337472719,11.66077703
0.111,0.990510407,-0.398584752,11.60445865
0.112,0.993678759,-0.403803142,11.7574049
0.113,0.996093725,-0.238020831,11.83166522
0.114,0.998036688,-0.343980907,11.80308922
0.115,0.999283783,-0.286490941,11.971186
0.116,0.999973972,-0.163042097,11.97520519
0.117,1.000110675,-0.280831739,11.99061091
0.118,1.000104632,-0.165758252,12.15031153
0.119,1.000090116,-0.113642723,12.09883079
0.12,1.000073469,-0.188801273,12.16414018
0.121,1.000058042,-0.031062022,12.28807755
0.122,1.000047045,-0.050439241,12.20614325
0.123,1.000041471,-0.073033264,12.30967192
0.124,1.000034972,0.101405789,12.37482546
0.125,1.000034989,0.023325784,12.29271092
0.126,1.000034516,0.058069016,12.41903826
0.127,1.000033492,0.214870468,12.41935141
0.128,1.00002939,0.10313553,12.37336225
0.129,1.00002824,0.195021172,12.51109873
0.13,1.000022544,0.294716988,12.45773943
0.131,1.000017906,0.197181894,12.47101961
0.132,1.000013023,0.338833324,12.59639665
0.133,1.000008456,0.35808404,12.50969226
0.134,1.000003521,0.311087225,12.58115481
0.135,0.999999333,0.482682558,12.66548674
0.136,0.999995183,0.432780341,12.57196718
