t|Main,P_g6|LM2500_6,Q_g6|LM2500_6,V_g6|LM2500_6,freq_gt_6|LM2500_6,Vlow_gt_6|LM2500_6
0,7.36E-41,-1.14E-53,1.90E-29,0,0
0.001,6.22E-05,5.58E-06,0.001344137,60,0.000224658
0.002,0.000867924,0.000143526,0.003767462,60,0.000887959
0.003,0.00395911,0.001070903,0.007093856,60,0.002079267
0.004,0.011229381,0.004124039,0.010807177,60,0.003663506
0.005,0.024359467,0.011559467,0.015026333,60,0.005570616
0.006,0.044283117,0.025586007,0.020014021,60,0.008054701
0.007,0.071323881,0.048373288,0.025114899,60,0.010730492
0.008,0.104571506,0.082605691,0.030602659,60,0.013782371
0.009,0.142982777,0.128219086,0.036842228,60,0.017382092
0.01,0.18544426,0.185601103,0.043045513,60,0.020940683
0.011,0.230875181,0.253649189,0.049570653,60,0.025065224
0.012,0.279487358,0.328246587,0.056868019,60,0.029596126
0.013,0.33186774,0.408870155,0.064025691,60,0.033922749
0.014,0.388861157,0.492317352,0.071978769,60,0.039010701
0.015,0.452733526,0.574460873,0.079723542,60,0.044270118
0.016,0.524214627,0.657601577,0.087757173,60,0.049311793
0.017,0.603404393,0.738202361,0.096613583,60,0.055232927
0.018,0.691743651,0.814980616,0.105173606,60,0.060999698
0.019,0.786787082,0.89130043,0.113938132,60,0.066768627
0.02,0.887549183,0.960115151,0.123451859,60,0.073378475
0.021,0.994325228,1.025203192,0.132519215,60,0.079450115
0.022,1.102328279,1.086513372,0.141701411,60,0.0860064
0.023,1.212894281,1.134845489,0.151583474,60,0.093149341
0.024,1.325084265,1.180611218,0.160949977,60,0.099498096
0.025,1.433408245,1.21785781,0.171012659,60,0.106788434
0.026,1.543011059,1.241607036,0.180499141,60,0.11429429
0.027,1.649442672,1.265418848,0.190064019,60,0.120985332
0.028,1.749088684,1.27476889,0.200299725,60,0.128913055
0.029,1.85002587,1.277488581,0.209937897,60,0.136590041
0.03,1.94208049,1.28038046,0.219631489,60,0.143745641
0.031,2.027869885,1.263807591,0.229970967,60,0.152183507
0.032,2.114464809,1.250039887,0.239703156,60,0.15981513
0.033,2.18733317,1.232877098,0.249460834,60,0.167607446
0.034,2.258220096,1.195833534,0.259846954,60,0.176398514
0.035,2.32702496,1.16993053,0.269621426,60,0.183921294
0.036,2.379973815,1.132189128,0.279392257,60,0.192403445
0.037,2.437401246,1.083536232,0.289790285,60,0.201366826
0.038,2.487286769,1.048962146,0.299575581,60,0.208911417
0.039,2.523542818,0.992969409,0.309981606,60,0.217980234
0.04,2.56919945,0.940585845,0.319736269,60,0.226916186
0.041,2.600535513,0.899229556,0.329517827,60,0.234688876
0.042,2.625165285,0.829778198,0.339905004,60,0.2442168
0.043,2.659884134,0.778797768,0.34966351,60,0.252906268
0.044,2.67412675,0.729509857,0.359434403,60,0.261164794
0.045,2.692503875,0.653460384,0.369809191,60,0.27099534
0.046,2.716338128,0.606523638,0.379571525,60,0.279261686
0.047,2.716674144,0.545471854,0.389323778,60,0.288253967
0.048,2.733391401,0.471729122,0.399695665,60,0.298198158
0.049,2.745873571,0.428890785,0.409458167,60,0.306198535
0.05,2.73904602,0.355092947,0.419190721,60,0.315851852
0.051,2.756655603,0.289702879,0.429565752,60,0.325690489
0.052,2.758469116,0.248748623,0.439326436,60,0.333686941
0.053,2.752153016,0.16496465,0.449691095,60,0.343850081
0.054,2.772045702,0.111576079,0.459424559,60,0.353339407
0.055,2.765819831,0.068299014,0.469177977,60,0.361652794
0.056,2.768131329,-0.017734872,0.479533569,60,0.372147756
0.057,2.79002839,-0.057031686,0.48927549,60,0.381026067
0.058,2.779557555,-0.109397899,0.499017484,60,0.390030147
0.059,2.795801835,-0.186503565,0.509371481,60,0.400652536
0.06,2.817071855,-0.21271625,0.519120711,60,0.408945106
0.061,2.808416576,-0.277828283,0.528849163,60,0.418763693
0.062,2.839780635,-0.338744156,0.539210488,60,0.42927995
0.063,2.857534487,-0.355834734,0.548962618,60,0.437313325
0.064,2.857646949,-0.431998939,0.559328187,60,0.447778259
0.065,2.901646087,-0.472731021,0.569051457,60,0.457925095
