t|Main,Vload_4|Load_4,Qload_4|Load_4,Pload_4|Load_4
0,1.90E-29,-4.28E-56,1.07E-39
0.001,0.001344137,1.07E-05,0.00011196
0.002,0.003767462,0.000323355,0.001676221
0.003,0.007093856,0.002227043,0.007759468
0.004,0.010807177,0.00847493,0.022222727
0.005,0.015026333,0.023555926,0.048323497
0.006,0.020014021,0.051895259,0.087993424
0.007,0.025114899,0.097927586,0.141860203
0.008,0.030602659,0.1670048,0.208149016
0.009,0.036842228,0.258915313,0.284724051
0.01,0.043045513,0.374617225,0.369322245
0.011,0.049570653,0.511738002,0.459879815
0.012,0.056868019,0.662315456,0.556786105
0.013,0.064025691,0.825053376,0.661209517
0.014,0.071978769,0.993774834,0.774792546
0.015,0.079723542,1.160077726,0.902176376
0.016,0.087757173,1.328612271,1.044687077
0.017,0.096613583,1.49230862,1.202733739
0.018,0.105173606,1.648746907,1.379011085
0.019,0.113938132,1.804522258,1.568451128
0.02,0.123451859,1.945612192,1.769586695
0.021,0.132519215,2.079521287,1.982702226
0.022,0.141701411,2.206217097,2.198221012
0.023,0.151583474,2.307314154,2.418824493
0.024,0.160949977,2.403649265,2.642558589
0.025,0.171012659,2.483346394,2.85867681
0.026,0.180499141,2.536468684,3.077306957
0.027,0.190064019,2.590017932,3.28934192
0.028,0.200299725,2.614749443,3.488036123
0.029,0.209937897,2.627171659,3.689140815
0.03,0.219631489,2.640131446,3.872696895
0.031,0.229970967,2.614530532,4.043761208
0.032,0.239703156,2.59499718,4.216132537
0.033,0.249460834,2.568912623,4.361186319
0.034,0.259846954,2.503909085,4.502067242
0.035,0.269621426,2.461020947,4.638921145
0.036,0.279392257,2.3950174,4.744134549
0.037,0.289790285,2.308070412,4.857883812
0.038,0.299575581,2.24929519,4.956792547
0.039,0.309981606,2.148056367,5.028655811
0.04,0.319736269,2.054642274,5.118951354
0.041,0.329517827,1.983798061,5.180597394
0.042,0.339905004,1.857296594,5.229083467
0.043,0.34966351,1.767709135,5.297620079
0.044,0.359434403,1.682211787,5.32498111
0.045,0.369809191,1.544228663,5.360614115
0.046,0.379571525,1.463898353,5.407016132
0.047,0.389323778,1.35588884,5.407080049
0.048,0.399695665,1.224050555,5.439031094
0.049,0.409458167,1.153435039,5.462543898
0.05,0.419190721,1.021461986,5.448043772
0.051,0.429565752,0.907063597,5.481850906
0.052,0.439326436,0.842040339,5.484163071
0.053,0.449691095,0.691884466,5.470690846
0.054,0.459424559,0.602296224,5.509264411
0.055,0.469177977,0.533983713,5.495458681
0.056,0.479533569,0.381374754,5.498731503
0.057,0.48927549,0.321069708,5.541175567
0.058,0.499017484,0.235537499,5.518929999
0.059,0.509371481,0.102296255,5.549883124
0.06,0.519120711,0.069738959,5.591001346
0.061,0.528849163,-0.039766868,5.572610124
0.062,0.539210488,-0.139575264,5.633807457
0.063,0.548962618,-0.15199035,5.667751832
0.064,0.559328187,-0.281024866,5.667107941
0.065,0.569051457,-0.340267514,5.753955703
0.066,0.578804556,-0.348551316,5.77743055
0.067,0.589162418,-0.487563703,5.8080869
0.068,0.598896422,-0.506170637,5.913310856
0.069,0.608645723,-0.532686129,5.928877167
0.07,0.618999934,-0.657400296,6.002520108
0.071,0.628745713,-0.638476767,6.115308421
0.072,0.63848375,-0.701614898,6.133456526
0.073,0.648845668,-0.787366484,6.254450177
0.074,0.658598644,-0.739387401,6.362930151
0.075,0.668325961,-0.836950258,6.400604313
0.076,0.67869634,-0.873198005,6.562870728
0.077,0.688454629,-0.812295878,6.657862318
0.078,0.698819872,-0.931763553,6.730877797
0.079,0.708554003,-0.914229207,6.921452237
0.08,0.718311312,-0.867878498,6.998922885
0.081,0.728672688,-0.98737747,7.120539277
0.082,0.738418849,-0.920260315,7.322580698
0.083,0.748168643,-0.92116102,7.388128725
