t|Main,Pload|Main,Qload|Main,Pcmd_BESS|Main,Pcmd_gt|Main,f_poi_meas2|Main,f_poi_meas|Main
0,1.27E-38,-1.84E-52,0,0,60,60
0.001,0.00044784,4.28E-05,0,4.59E-05,60,60
0.002,0.006704886,0.001293419,0,0.000760856,60,60
0.003,0.03103787,0.008908171,0,0.003643666,60,60
0.004,0.088890907,0.03389972,0,0.010622911,60,60
0.005,0.193293987,0.094223702,0,0.023353692,60,60
0.006,0.351973694,0.207581036,0,0.04283385,60,60
0.007,0.567440811,0.391710344,0,0.069425626,60,60
0.008,0.832596063,0.668019201,0,0.102288801,60,60
0.009,1.138896204,1.035661251,0,0.140342161,60,60
0.01,1.477288979,1.4984689,0,0.182469578,60,60
0.011,1.839519259,2.046952008,0,0.227607561,60,60
0.012,2.22714442,2.649261826,0,0.275885032,60,60
0.013,2.644838068,3.300213508,0,0.327899136,60,60
0.014,3.099170183,3.975099341,0,0.384411577,60,60
0.015,3.608705508,4.640310911,0,0.447718996,60,60
0.016,4.178748311,5.314449093,0,0.518610153,60,60
0.017,4.810934957,5.969234491,0,0.597188979,60,60
0.018,5.516044342,6.594987644,0,0.684908437,60,60
0.019,6.273804517,7.218089055,0,0.77936797,60,60
0.02,7.078346791,7.782448796,0,0.879596572,60,60
0.021,7.930808917,8.318085183,0,0.985958907,60,60
0.022,8.792884058,8.824868424,0,1.093704677,60,60
0.023,9.675297982,9.229256653,0,1.203797835,60,60
0.024,10.57023436,9.614597093,0,1.315782423,60,60
0.025,11.43470725,9.933385603,0,1.423954808,60,60
0.026,12.30922783,10.14587476,0,1.533165427,60,60
0.027,13.15736768,10.36007174,0,1.639593867,60,60
0.028,13.9521445,10.45899779,0,1.739029289,60,60
0.029,14.75656327,10.50868665,0,1.839634186,60,60
0.03,15.49078759,10.5605258,0,1.932050556,60,60
0.031,16.17504485,10.45812214,0,2.017497757,60,60
0.032,16.86453017,10.37998874,0,2.104007088,60,60
0.033,17.44474531,10.27565052,0,2.177219828,60,60
0.034,18.00826901,10.01563638,0,2.247361753,60,60
0.035,18.55568463,9.844083836,0,2.316476906,60,60
0.036,18.97653825,9.580069651,0,2.36951111,60,60
0.037,19.4315353,9.232281698,0,2.426009891,60,60
0.038,19.82717026,8.99718081,0,2.476450194,60,60
0.039,20.11462333,8.592225525,0,2.512308855,60,60
0.04,20.47580552,8.218569163,0,2.557301234,60,60
0.041,20.7223897,7.935192321,0,2.589262274,60,60
0.042,20.91633401,7.429186464,0,2.612882682,60,60
0.043,21.19048048,7.070836637,0,2.647431376,60,60
0.044,21.29992462,6.728847255,0,2.662153276,60,60
0.045,21.44245664,6.17691476,0,2.678902219,60,60
0.046,21.62806471,5.855593518,0,2.702981723,60,60
0.047,21.62832037,5.423555457,0,2.703512029,60,60
0.048,21.75612455,4.896202311,0,2.718327744,60,60
0.049,21.85017575,4.613740238,0,2.731484102,60,60
0.05,21.79217523,4.085848009,0,2.723846154,60,60
0.051,21.92740373,3.628254436,0,2.739974396,60,60
0.052,21.93665234,3.36816138,0,2.742795711,60,60
