time_sec,hour_of_day,power_mw,irradiance_w_m2
0,0.0,0.0,0.0
10,0.0,0.0,0.0
20,0.01,0.0,0.0
30,0.01,0.0,0.0
40,0.01,0.0,0.0
50,0.01,0.0,0.0
60,0.02,0.0,0.0
70,0.02,0.0,0.0
80,0.02,0.0,0.0
90,0.03,0.0,0.0
100,0.03,0.0,0.0
110,0.03,0.0,0.0
120,0.03,0.0,0.0
130,0.04,0.0,0.0
140,0.04,0.0,0.0
150,0.04,0.0,0.0
160,0.04,0.0,0.0
170,0.05,0.0,0.0
180,0.05,0.0,0.0
190,0.05,0.0,0.0
200,0.06,0.0,0.0
210,0.06,0.0,0.0
220,0.06,0.0,0.0
230,0.06,0.0,0.0
240,0.07,0.0,0.0
250,0.07,0.0,0.0
260,0.07,0.0,0.0
270,0.07,0.0,0.0
280,0.08,0.0,0.0
290,0.08,0.0,0.0
300,0.08,0.0,0.0
310,0.09,0.0,0.0
320,0.09,0.0,0.0
330,0.09,0.0,0.0
340,0.09,0.0,0.0
350,0.1,0.0,0.0
360,0.1,0.0,0.0
370,0.1,0.0,0.0
380,0.11,0.0,0.0
390,0.11,0.0,0.0
400,0.11,0.0,0.0
410,0.11,0.0,0.0
420,0.12,0.0,0.0
430,0.12,0.0,0.0
440,0.12,0.0,0.0
450,0.12,0.0,0.0
460,0.13,0.0,0.0
470,0.13,0.0,0.0
480,0.13,0.0,0.0
490,0.14,0.0,0.0
500,0.14,0.0,0.0
510,0.14,0.0,0.0
520,0.14,0.0,0.0
530,0.15,0.0,0.0
540,0.15,0.0,0.0
550,0.15,0.0,0.0
560,0.16,0.0,0.0
570,0.16,0.0,0.0
580,0.16,0.0,0.0
590,0.16,0.0,0.0
600,0.17,0.0,0.0
610,0.17,0.0,0.0
620,0.17,0.0,0.0
630,0.17,0.0,0.0
640,0.18,0.0,0.0
650,0.18,0.0,0.0
660,0.18,0.0,0.0
670,0.19,0.0,0.0
680,0.19,0.0,0.0
690,0.19,0.0,0.0
700,0.19,0.0,0.0
710,0.2,0.0,0.0
720,0.2,0.0,0.0
730,0.2,0.0,0.0
740,0.21,0.0,0.0
750,0.21,0.0,0.0
760,0.21,0.0,0.0
770,0.21,0.0,0.0
780,0.22,0.0,0.0
790,0.22,0.0,0.0
800,0.22,0.0,0.0
810,0.23,0.0,0.0
820,0.23,0.0,0.0
830,0.23,0.0,0.0
840,0.23,0.0,0.0
850,0.24,0.0,0.0
860,0.24,0.0,0.0
870,0.24,0.0,0.0
880,0.24,0.0,0.0
890,0.25,0.0,0.0
900,0.25,0.0,0.0
910,0.25,0.0,0.0
920,0.26,0.0,0.0
930,0.26,0.0,0.0
940,0.26,0.0,0.0
950,0.26,0.0,0.0
960,0.27,0.0,0.0
970,0.27,0.0,0.0
980,0.27,0.0,0.0
990,0.28,0.0,0.0
1000,0.28,0.0,0.0
1010,0.28,0.0,0.0
1020,0.28,0.0,0.0
1030,0.29,0.0,0.0
1040,0.29,0.0,0.0
1050,0.29,0.0,0.0
1060,0.29,0.0,0.0
1070,0.3,0.0,0.0
1080,0.3,0.0,0.0
1090,0.3,0.0,0.0
1100,0.31,0.0,0.0
1110,0.31,0.0,0.0
1120,0.31,0.0,0.0
1130,0.31,0.0,0.0
1140,0.32,0.0,0.0
1150,0.32,0.0,0.0
1160,0.32,0.0,0.0
1170,0.33,0.0,0.0
1180,0.33,0.0,0.0
1190,0.33,0.0,0.0
1200,0.33,0.0,0.0
1210,0.34,0.0,0.0
1220,0.34,0.0,0.0
1230,0.34,0.0,0.0
1240,0.34,0.0,0.0
1250,0.35,0.0,0.0
1260,0.35,0.0,0.0
1270,0.35,0.0,0.0
1280,0.36,0.0,0.0
1290,0.36,0.0,0.0
1300,0.36,0.0,0.0
1310,0.36,0.0,0.0
1320,0.37,0.0,0.0
1330,0.37,0.0,0.0
1340,0.37,0.0,0.0
1350,0.38,0.0,0.0
1360,0.38,0.0,0.0
1370,0.38,0.0,0.0
1380,0.38,0.0,0.0
1390,0.39,0.0,0.0
1400,0.39,0.0,0.0
1410,0.39,0.0,0.0
1420,0.39,0.0,0.0
1430,0.4,0.0,0.0
1440,0.4,0.0,0.0
1450,0.4,0.0,0.0
1460,0.41,0.0,0.0
1470,0.41,0.0,0.0
1480,0.41,0.0,0.0
1490,0.41,0.0,0.0
1500,0.42,0.0,0.0
1510,0.42,0.0,0.0
1520,0.42,0.0,0.0
1530,0.42,0.0,0.0
1540,0.43,0.0,0.0
1550,0.43,0.0,0.0
1560,0.43,0.0,0.0
1570,0.44,0.0,0.0
1580,0.44,0.0,0.0
1590,0.44,0.0,0.0
1600,0.44,0.0,0.0
1610,0.45,0.0,0.0
1620,0.45,0.0,0.0
1630,0.45,0.0,0.0
1640,0.46,0.0,0.0
1650,0.46,0.0,0.0
1660,0.46,0.0,0.0
1670,0.46,0.0,0.0
1680,0.47,0.0,0.0
1690,0.47,0.0,0.0
1700,0.47,0.0,0.0
1710,0.47,0.0,0.0
1720,0.48,0.0,0.0
1730,0.48,0.0,0.0
