time_sec,grid_power_mw,gas1_power_mw,gas2_power_mw,gas3_power_mw,wind_power_mw,solar_power_mw,bess_soc_percent,bess_power_mw,critical1_load_mw,critical2_load_mw,hvac_load_mw,aux_load_mw,total_load_mw
0,15.0,8.5,8.5,7.94,2.55,0.0,84.8,1.21,18.48,18.56,3.13,3.52,43.7
60,15.0,8.5,8.5,6.35,2.4,0.0,84.6,1.21,18.04,18.01,3.1,2.81,41.97
120,15.0,8.5,8.5,7.09,2.56,0.0,84.4,1.2,18.26,18.41,3.03,3.15,42.85
180,15.0,8.5,8.5,7.18,2.36,0.0,84.2,1.22,18.49,18.24,3.03,3.0,42.76
240,15.0,8.5,8.5,7.87,2.5,0.0,84.0,1.21,18.86,18.33,3.2,3.19,43.58
300,15.0,8.5,8.5,7.71,2.46,0.0,83.8,1.22,18.53,18.75,3.11,2.99,43.38
360,15.0,8.5,8.5,7.51,2.34,0.0,83.6,1.23,18.37,18.67,3.16,2.88,43.08
420,15.0,8.5,8.5,8.17,2.19,0.0,83.4,1.25,18.69,18.03,3.14,3.74,43.61
480,15.0,8.5,8.5,8.44,2.02,0.0,83.2,1.27,18.95,18.58,3.03,3.17,43.72
540,15.0,8.5,8.5,8.4,2.13,0.0,83.0,1.26,18.63,18.82,3.14,3.2,43.79
600,15.0,8.5,8.5,8.12,2.24,0.0,82.7,1.24,18.86,18.74,3.17,2.82,43.6
660,15.0,8.5,8.5,7.74,2.23,0.0,82.5,1.24,18.68,18.47,3.3,2.76,43.21
720,15.0,8.5,8.5,7.26,2.26,0.0,82.3,1.24,18.26,18.49,3.02,2.99,42.76
780,15.0,8.5,8.5,8.0,2.14,0.0,82.1,1.25,18.28,18.18,3.25,3.69,43.4
840,15.0,8.5,8.5,7.6,2.35,0.0,81.9,1.23,18.81,18.13,3.11,3.13,43.18
900,15.0,8.5,8.5,7.37,2.39,0.0,81.7,1.22,18.05,18.41,3.33,3.19,42.98
960,15.0,8.5,8.5,6.94,2.31,0.0,81.5,1.23,18.34,18.2,3.08,2.86,42.48
1020,15.0,8.5,8.5,8.76,2.34,0.0,81.3,1.24,18.89,18.9,3.08,3.46,44.34
1080,15.0,8.5,8.5,8.78,2.13,0.0,81.1,1.26,18.67,18.91,3.1,3.49,44.17
1140,15.0,8.5,8.5,7.14,2.33,0.0,80.9,1.23,18.44,18.19,3.19,2.88,42.7
1200,15.0,8.5,8.5,7.73,2.36,0.0,80.7,1.23,18.21,18.97,3.37,2.77,43.32
1260,15.0,8.5,8.5,8.59,2.15,0.0,80.5,1.26,18.4,18.85,3.23,3.52,44.0
1320,15.0,8.5,8.5,8.52,2.19,0.0,80.3,1.25,18.88,18.67,3.18,3.21,43.96
1380,15.0,8.5,8.5,7.83,2.31,0.0,80.1,1.23,18.33,18.43,3.18,3.43,43.37
1440,15.0,8.5,8.5,7.53,2.32,0.0,79.9,1.23,18.17,18.21,3.14,3.56,43.08
1500,15.0,8.5,8.5,7.09,2.17,0.0,79.7,1.24,18.07,18.07,3.38,2.98,42.5
1560,15.0,8.5,8.5,8.73,2.21,0.0,79.4,1.25,18.66,18.78,3.06,3.68,44.19
1620,15.0,8.5,8.5,7.8,2.13,0.0,79.2,1.25,18.84,18.15,3.26,2.93,43.18
