time_sec,hour_of_day,load_mw,utilization_pct
0,0.0,38.333,76.7
10,0.0,37.815,75.6
20,0.01,37.866,75.7
30,0.01,37.972,75.9
40,0.01,38.068,76.1
50,0.01,36.611,73.2
60,0.02,37.778,75.6
70,0.02,37.918,75.8
80,0.02,37.771,75.5
90,0.03,37.415,74.8
100,0.03,37.789,75.6
110,0.03,37.346,74.7
120,0.03,38.278,76.6
130,0.04,36.888,73.8
140,0.04,37.562,75.1
150,0.04,38.216,76.4
160,0.04,37.79,75.6
170,0.05,37.522,75.0
180,0.05,37.94,75.9
190,0.05,37.865,75.7
200,0.06,37.523,75.0
210,0.06,38.226,76.5
220,0.06,38.242,76.5
230,0.06,37.558,75.1
240,0.07,37.688,75.4
250,0.07,38.164,76.3
260,0.07,37.162,74.3
270,0.07,37.507,75.0
280,0.08,38.317,76.6
290,0.08,37.844,75.7
300,0.08,38.104,76.2
310,0.09,38.027,76.1
320,0.09,37.934,75.9
330,0.09,38.025,76.1
340,0.09,36.555,73.1
350,0.1,37.162,74.3
360,0.1,36.972,73.9
370,0.1,37.566,75.1
380,0.11,37.133,74.3
390,0.11,36.713,73.4
400,0.11,37.736,75.5
410,0.11,38.091,76.2
420,0.12,37.726,75.5
430,0.12,37.344,74.7
440,0.12,37.076,74.2
450,0.12,37.759,75.5
460,0.13,39.693,79.4
470,0.13,38.015,76.0
480,0.13,37.786,75.6
490,0.14,37.599,75.2
500,0.14,38.036,76.1
510,0.14,37.382,74.8
520,0.14,37.078,74.2
530,0.15,37.921,75.8
540,0.15,38.254,76.5
550,0.15,37.404,74.8
560,0.16,38.054,76.1
570,0.16,37.853,75.7
580,0.16,37.721,75.4
590,0.16,37.655,75.3
600,0.17,37.984,76.0
610,0.17,37.787,75.6
620,0.17,37.522,75.0
630,0.17,37.539,75.1
640,0.18,38.088,76.2
650,0.18,37.819,75.6
660,0.18,37.907,75.8
670,0.19,37.323,74.6
680,0.19,37.416,74.8
690,0.19,37.927,75.9
700,0.19,37.158,74.3
710,0.2,37.483,75.0
720,0.2,38.577,77.2
730,0.2,37.931,75.9
740,0.21,36.682,73.4
750,0.21,37.782,75.6
760,0.21,38.754,77.5
770,0.21,37.857,75.7
780,0.22,37.101,74.2
790,0.22,38.291,76.6
800,0.22,37.867,75.7
810,0.23,37.786,75.6
820,0.23,38.349,76.7
830,0.23,38.349,76.7
840,0.23,38.147,76.3
850,0.24,37.704,75.4
860,0.24,37.296,74.6
870,0.24,38.314,76.6
880,0.24,37.358,74.7
890,0.25,37.071,74.1
900,0.25,36.747,73.5
910,0.25,37.128,74.3
920,0.26,38.134,76.3
930,0.26,36.964,73.9
940,0.26,37.231,74.5
950,0.26,37.6,75.2
960,0.27,37.132,74.3
970,0.27,37.472,74.9
980,0.27,37.872,75.7
990,0.28,37.165,74.3
1000,0.28,37.416,74.8
1010,0.28,37.716,75.4
1020,0.28,38.392,76.8
1030,0.29,38.504,77.0
1040,0.29,37.795,75.6
1050,0.29,37.621,75.2
1060,0.29,37.102,74.2
1070,0.3,37.907,75.8
1080,0.3,38.036,76.1
1090,0.3,37.411,74.8
1100,0.31,38.161,76.3
1110,0.31,37.088,74.2
1120,0.31,37.384,74.8
1130,0.31,37.65,75.3
1140,0.32,37.187,74.4
1150,0.32,38.053,76.1
1160,0.32,37.793,75.6
1170,0.33,38.302,76.6
1180,0.33,37.721,75.4
1190,0.33,38.019,76.0
1200,0.33,36.184,72.4
1210,0.34,38.485,77.0
1220,0.34,37.99,76.0
1230,0.34,37.737,75.5
1240,0.34,36.828,73.7
1250,0.35,37.919,75.8
1260,0.35,37.466,74.9
1270,0.35,37.184,74.4
1280,0.36,37.568,75.1
1290,0.36,37.594,75.2
1300,0.36,38.557,77.1
1310,0.36,37.277,74.6
1320,0.37,37.4,74.8
1330,0.37,37.099,74.2
1340,0.37,37.883,75.8
1350,0.38,37.337,74.7
