time_sec,hour_of_day,power_mw,wind_speed_mph
0,0.0,7.074,8.41
10,0.0,6.664,8.16
20,0.01,7.074,8.41
30,0.01,7.109,8.43
40,0.01,7.464,8.64
50,0.01,7.79,8.83
60,0.02,7.859,8.87
70,0.02,7.786,8.82
80,0.02,7.938,8.91
90,0.03,8.203,9.06
100,0.03,8.552,9.25
110,0.03,8.812,9.39
120,0.03,8.881,9.42
130,0.04,8.71,9.33
140,0.04,8.434,9.18
150,0.04,8.638,9.29
160,0.04,8.337,9.13
170,0.05,8.483,9.21
180,0.05,8.581,9.26
190,0.05,8.157,9.03
200,0.06,8.272,9.09
210,0.06,8.524,9.23
220,0.06,9.119,9.55
230,0.06,9.068,9.52
240,0.07,8.942,9.46
250,0.07,8.412,9.17
260,0.07,8.943,9.46
270,0.07,9.028,9.5
280,0.08,8.979,9.48
290,0.08,9.314,9.65
300,0.08,9.513,9.75
310,0.09,9.76,9.88
320,0.09,10.412,10.2
330,0.09,10.143,10.07
340,0.09,10.124,10.06
350,0.1,9.961,9.98
360,0.1,10.505,10.25
370,0.1,10.586,10.29
380,0.11,10.405,10.2
390,0.11,10.267,10.13
400,0.11,10.491,10.24
410,0.11,10.402,10.2
420,0.12,10.148,10.07
430,0.12,9.713,9.86
440,0.12,9.299,9.64
450,0.12,9.59,9.79
460,0.13,9.424,9.71
470,0.13,9.705,9.85
480,0.13,9.869,9.93
490,0.14,9.688,9.84
500,0.14,10.095,10.05
510,0.14,10.216,10.11
520,0.14,10.498,10.25
530,0.15,10.495,10.24
540,0.15,10.346,10.17
550,0.15,10.582,10.29
560,0.16,10.894,10.44
570,0.16,10.739,10.36
580,0.16,10.5,10.25
590,0.16,10.418,10.21
600,0.17,10.022,10.01
610,0.17,9.525,9.76
620,0.17,9.802,9.9
630,0.17,10.162,10.08
640,0.18,10.74,10.36
650,0.18,11.235,10.6
660,0.18,11.418,10.69
670,0.19,11.299,10.63
680,0.19,11.16,10.56
690,0.19,11.388,10.67
700,0.19,11.351,10.65
710,0.2,11.431,10.69
720,0.2,11.332,10.65
730,0.2,11.467,10.71
740,0.21,11.305,10.63
750,0.21,11.284,10.62
760,0.21,10.568,10.28
770,0.21,10.111,10.06
780,0.22,9.699,9.85
790,0.22,9.506,9.75
800,0.22,9.845,9.92
810,0.23,9.591,9.79
820,0.23,9.601,9.8
830,0.23,9.113,9.55
840,0.23,8.829,9.4
850,0.24,8.97,9.47
860,0.24,9.041,9.51
870,0.24,8.841,9.4
880,0.24,8.582,9.26
890,0.25,8.502,9.22
900,0.25,8.727,9.34
910,0.25,9.006,9.49
920,0.26,9.487,9.74
930,0.26,9.399,9.69
940,0.26,9.489,9.74
950,0.26,9.674,9.84
960,0.27,9.486,9.74
970,0.27,9.712,9.85
980,0.27,9.86,9.93
990,0.28,9.671,9.83
1000,0.28,9.66,9.83
1010,0.28,9.762,9.88
1020,0.28,9.556,9.78
1030,0.29,9.462,9.73
1040,0.29,9.656,9.83
1050,0.29,9.561,9.78
1060,0.29,9.692,9.85
1070,0.3,10.191,10.09
1080,0.3,10.06,10.03
1090,0.3,9.655,9.83
1100,0.31,9.76,9.88
1110,0.31,9.841,9.92
1120,0.31,9.963,9.98
1130,0.31,9.857,9.93
1140,0.32,10.042,10.02
1150,0.32,9.897,9.95
1160,0.32,10.043,10.02
1170,0.33,10.144,10.07
1180,0.33,10.23,10.11
1190,0.33,10.1,10.05
1200,0.33,10.249,10.12
1210,0.34,10.767,10.38
1220,0.34,10.648,10.32
1230,0.34,10.862,10.42
1240,0.34,10.94,10.46
1250,0.35,11.275,10.62
1260,0.35,11.347,10.65
1270,0.35,11.302,10.63
1280,0.36,11.139,10.55
1290,0.36,11.845,10.88
1300,0.36,12.192,11.04
1310,0.36,12.158,11.03
1320,0.37,11.933,10.92
1330,0.37,11.766,10.85
1340,0.37,11.893,10.91
1350,0.38,12.12,11.01
1360,0.38,12.247,11.07
1370,0.38,12.072,10.99
1380,0.38,12.01,10.96
1390,0.39,12.127,11.01
1400,0.39,11.647,10.79
1410,0.39,11.06,10.52
1420,0.39,11.8,10.86
1430,0.4,11.477,10.71
1440,0.4,11.392,10.67
1450,0.4,11.514,10.73
1460,0.41,11.767,10.85
1470,0.41,11.489,10.72
1480,0.41,11.535,10.74
1490,0.41,11.525,10.74
1500,0.42,11.222,10.59
1510,0.42,11.566,10.75
1520,0.42,12.08,10.99
1530,0.42,11.985,10.95
1540,0.43,12.192,11.04
1550,0.43,12.336,11.11
1560,0.43,12.201,11.05
1570,0.44,12.458,11.16
1580,0.44,12.214,11.05
1590,0.44,12.664,11.25
1600,0.44,12.639,11.24
1610,0.45,12.688,11.26
1620,0.45,12.819,11.32
1630,0.45,12.849,11.34
1640,0.46,12.757,11.29
1650,0.46,11.96,10.94
1660,0.46,11.764,10.85
1670,0.46,11.968,10.94
1680,0.47,12.038,10.97
1690,0.47,12.709,11.27
1700,0.47,12.548,11.2
1710,0.47,12.648,11.25
1720,0.48,12.816,11.32
1730,0.48,12.511,11.19
1740,0.48,13.039,11.42
1750,0.49,12.456,11.16
1760,0.49,12.957,11.38
1770,0.49,13.615,11.67
1780,0.49,13.589,11.66
1790,0.5,13.19,11.48
1800,0.5,13.092,11.44
1810,0.5,12.99,11.4
1820,0.51,12.591,11.22
1830,0.51,12.705,11.27
1840,0.51,12.686,11.26
1850,0.51,12.499,11.18
1860,0.52,12.186,11.04
1870,0.52,12.022,10.96
1880,0.52,12.139,11.02
1890,0.53,11.733,10.83
1900,0.53,11.602,10.77
1910,0.53,11.204,10.58
1920,0.53,11.089,10.53
1930,0.54,11.347,10.65
1940,0.54,11.729,10.83
1950,0.54,11.465,10.71
1960,0.54,11.366,10.66
1970,0.55,11.201,10.58
1980,0.55,11.028,10.5
1990,0.55,10.876,10.43
2000,0.56,10.617,10.3
2010,0.56,10.711,10.35
2020,0.56,10.453,10.22
2030,0.56,10.241,10.12
2040,0.57,10.312,10.15
2050,0.57,10.89,10.44
2060,0.57,10.697,10.34
2070,0.57,11.182,10.57
2080,0.58,11.538,10.74
2090,0.58,12.2,11.05
2100,0.58,12.176,11.03
2110,0.59,12.201,11.05
2120,0.59,11.877,10.9
2130,0.59,12.14,11.02
2140,0.59,11.957,10.93
2150,0.6,11.626,10.78
2160,0.6,12.308,11.09
2170,0.6,11.836,10.88
2180,0.61,11.87,10.89
2190,0.61,12.016,10.96
2200,0.61,11.812,10.87
2210,0.61,11.915,10.92
2220,0.62,12.111,11.01
2230,0.62,12.143,11.02
2240,0.62,12.488,11.18
2250,0.62,12.869,11.34
2260,0.63,12.793,11.31
2270,0.63,13.173,11.48
2280,0.63,13.399,11.58
2290,0.64,13.244,11.51
2300,0.64,14.139,11.89
2310,0.64,13.923,11.8
2320,0.64,13.89,11.79
2330,0.65,13.866,11.78
2340,0.65,14.152,11.9
2350,0.65,14.498,12.04
2360,0.66,14.74,12.14
2370,0.66,14.51,12.05
2380,0.66,14.771,12.15
2390,0.66,14.794,12.16
2400,0.67,14.621,12.09
2410,0.67,15.0,12.25
2420,0.67,14.664,12.11
2430,0.68,14.851,12.19
2440,0.68,14.358,11.98
2450,0.68,14.468,12.03
2460,0.68,14.819,12.17
2470,0.69,14.782,12.16
2480,0.69,15.0,12.25
2490,0.69,14.619,12.09
2500,0.69,14.639,12.1
2510,0.7,14.281,11.95
2520,0.7,14.128,11.89
2530,0.7,14.014,11.84
2540,0.71,14.524,12.05
2550,0.71,14.969,12.23
2560,0.71,15.0,12.25
2570,0.71,14.991,12.24
2580,0.72,14.941,12.22
2590,0.72,14.866,12.19
2600,0.72,14.633,12.1
2610,0.72,14.727,12.14
2620,0.73,15.0,12.25
2630,0.73,14.687,12.12
2640,0.73,14.11,11.88
2650,0.74,13.682,11.7
2660,0.74,13.362,11.56
2670,0.74,13.322,11.54
2680,0.74,13.336,11.55
2690,0.75,13.053,11.42
2700,0.75,13.331,11.55
2710,0.75,13.534,11.63
2720,0.76,13.619,11.67
2730,0.76,13.818,11.75
